ticker,distance_pct,ma_rising
GLO,2.317149265980625,True
IVT,2.3185625533485124,True
NBR,2.3240817265275395,True
DRS,2.3360626065331513,True
XWEL,2.338815587264707,True
NATH,2.35292030462464,True
ACGL,2.359425478441124,True
ABOS,2.3609422805333025,True
DJP,2.372434621210239,True
ECF,2.376053301764285,True
CKX,2.3797093900731805,True
RMM,2.380036592265545,True
SMHB,2.3813555856220114,True
DSX,2.383306570503049,True
MGIH,2.401681486824306,True
GLNG,2.415348811873451,True
MLTX,2.453805187535584,True
EGP,2.4638039053878362,True
WSBK,2.4835167781837484,True
UNB,2.49120526171396,True
AKO-A,2.4921663844476987,True
LSAK,2.494233811733194,True
CMP,2.5022814281508543,True
ITRN,2.5167064278817977,True
CZWI,2.521776932585998,True
LSTR,2.5253645150793353,True
PMA,2.5263509990005732,True
CBU,2.5269410898379947,True
VMI,2.533500464352416,True
DFIN,2.5452371340388247,True
EDF,2.55258924059221,True
CW,2.556838341006791,True
LGI,2.5664811367075235,True
MRBK,2.57033725908932,True
CCO,2.5858419552287684,True
EDTK,2.592162433937848,True
IDE,2.5964359714068794,True
BANC,2.5967288170554403,True
JOE,2.6254410016500835,True
WTRG,2.636842909685126,True
BCV,2.6676107125634267,True
WMB,2.670566370939307,True
EMA,2.672268407091666,True
VTOL,2.688385983105035,True
VRA,2.7032362188793244,True
MDU,2.7065450196541536,True
AUGO,2.7070301488837427,True
DNP,2.713794192181761,True
VET,2.71723198822882,True
UTL,2.7270229339446397,True
WERN,2.729592648851952,True
LGCY,2.745673347347792,True
BJ,2.7527134611601354,True
HEQ,2.7566715239624595,True
ACEL,2.763456902326867,True
REPX,2.767910085307489,True
TXT,2.76846603913552,True
GENC,2.7727984717868845,True
ISSC,2.7779998729190147,True
UDR,2.793983469189181,True
LKFN,2.7942437117191408,True
KDP,2.8056594446319116,True
STAG,2.812279197036873,True
HGV,2.8124647550068804,True
XOM,2.8142194885544565,True
JOUT,2.8152321548393604,True
TJX,2.818984216852884,True
RMI,2.8210060136490376,True
RFM,2.828531086617921,True
KF,2.83381954721956,True
CECO,2.8515350367661574,True
ALGM,2.8567413078147146,True
GLQ,2.8794860395750344,True
ASGI,2.8826364118205903,True
AWK,2.8934244081449125,True
RGCO,2.8978177716271634,True
TTE,2.9079130488198364,True
MTX,2.9095522011503814,True
SCOR,2.9126235233128654,True
PANL,2.913466935183163,True
NWE,2.932283038131468,True
OGS,2.9573282316552794,True
GNE,2.9845479087715545,True
UTG,2.9913431929127463,True
OXY,2.999152109124136,True
PECO,3.029792652339105,True
APT,3.04893996516605,True
NIE,3.0525400816582655,True
SPNT,3.0609537074923487,True
WWD,3.0708822401049716,True
EQ,3.0776346764757054,True
SVCO,3.1114105556207425,True
HAS,3.1140742554344203,True
TTMI,3.115540039531209,True
GITS,3.115970476101913,True
UNFI,3.124112872440327,True
BODI,3.135061024872507,True
OBE,3.1539479599971476,True
EE,3.168480112942687,True
IHD,3.1978764798421446,True
CDNS,3.2289712365898655,True
MCB,3.230541502798887,True
ABLV,3.237215025040622,True
TXMD,3.255961000321174,True
ERH,3.2577864370636265,True
CWBC,3.2659949911366373,True
AEP,3.268242532570182,True
CTVA,3.2814374643745676,True
MCK,3.299704807833328,True
GFR,3.3034728258406885,True
CERS,3.3054489490435595,True
FLOC,3.3116846859660423,True
NMI,3.3262126644694683,True
WMK,3.3360491601189493,True
AOMR,3.3532377374254354,True
OHI,3.354137276082108,True
GRBK,3.3612517041697827,True
PDX,3.3624316494723776,True
APYX,3.3646726028176337,True
KEX,3.3751407040912174,True
HIFS,3.378299316782802,True
MTRX,3.3802070533700683,True
EZPW,3.3833175536898907,True
ABX,3.3921062854236137,True
LPA,3.3925684998338688,True
KIM,3.413283707324525,True
MGEE,3.417663383793252,True
CHW,3.4231874307212444,True
HON,3.427819417044971,True
TSSI,3.4305295588274207,True
COST,3.4339081067910824,True
ALGT,3.435965906586457,True
HUBB,3.439668707578262,True
ALLO,3.4427549195349574,True
RRR,3.444819071617449,True
IMO,3.4468459550099126,True
TWO,3.468881008264174,True
F,3.4865607635505316,True
MLP,3.487420325629139,True
VLGEA,3.48794983631475,True
XPL,3.508774070137044,True
FNRN,3.5101576432975348,True
POET,3.5123711018105297,True
LONA,3.517589980654491,True
BSBK,3.5188682429916374,True
ANGH,3.5197715221583845,True
EME,3.521474079776031,True
FTI,3.5282723699204674,True
FGBI,3.5338139906267383,True
OCFC,3.5346809611890095,True
ATMP,3.5383191592682115,True
CSTM,3.5416612455851313,True
CNQ,3.5424170809472604,True
CAF,3.549188808981807,True
DTE,3.5552282584588277,True
DGXX,3.5599747640510224,True
ADM,3.5634386365653414,True
AKAM,3.571926918199246,True
EIX,3.573934271031261,True
LTC,3.574642746415467,True
CAT,3.5920624609792,True
LNT,3.6001113878451076,True
GRNT,3.614455788851116,True
OLP,3.615387791142356,True
TK,3.6212989057734744,True
D,3.6312174731803863,True
ON,3.6405388444119167,True
GLRE,3.6446452365007582,True
WY,3.719521358199277,True
CLS,3.7220171310970183,True
RCG,3.7234039913585697,True
CMI,3.7268096684803407,True
SPIR,3.728586583933999,True
CL,3.730913828405899,True
HESM,3.7836685777024233,True
ENPH,3.808308276733467,True
ROK,3.8151574967708957,True
CING,3.8213271953499044,True
SWX,3.8363057212295324,True
PPL,3.8390284984235605,True
CGO,3.8503977625138686,True
